area,furnishingstatus,price,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea
7950,unfurnished,8400000,5,2,2,yes,no,yes,yes,no,2,no
5500,semi-furnished,8400000,4,2,2,yes,no,yes,no,yes,1,yes
7475,unfurnished,8400000,3,2,4,yes,no,no,no,yes,2,no
7000,semi-furnished,8400000,3,1,4,yes,no,no,no,yes,2,no
4880,furnished,8295000,4,2,2,yes,no,no,no,yes,1,yes
5960,unfurnished,8190000,3,3,2,yes,yes,yes,no,no,1,no
6840,furnished,8120000,5,1,2,yes,yes,yes,no,yes,1,no
7000,furnished,8080940,3,2,4,yes,no,no,no,yes,2,no
7482,furnished,8043000,3,2,3,yes,no,no,yes,no,1,yes
9000,furnished,7980000,4,2,4,yes,no,no,no,yes,2,no
6000,unfurnished,7962500,3,1,4,yes,yes,no,no,yes,2,no
6000,semi-furnished,7910000,4,2,4,yes,no,no,no,yes,1,no
6550,furnished,7875000,3,1,2,yes,no,yes,no,yes,0,yes
6360,furnished,7840000,3,2,4,yes,no,no,no,yes,0,yes
6480,unfurnished,7700000,3,2,4,yes,no,no,no,yes,2,no
6000,semi-furnished,7700000,4,2,4,yes,no,no,no,no,2,no
6000,furnished,7560000,4,2,4,yes,no,no,no,yes,1,no
6000,semi-furnished,7560000,3,2,3,yes,no,no,no,yes,0,no
6000,furnished,7525000,3,2,4,yes,no,no,no,yes,1,no
6600,furnished,7490000,3,1,4,yes,no,no,no,yes,3,yes
4300,unfurnished,7455000,3,2,2,yes,no,yes,no,no,1,no
7440,semi-furnished,7420000,3,2,1,yes,yes,yes,no,yes,0,yes
7440,unfurnished,7420000,3,2,4,yes,no,no,no,no,1,yes
6325,unfurnished,7420000,3,1,4,yes,no,no,no,yes,1,no
6000,furnished,7350000,4,2,4,yes,yes,no,no,yes,1,no
5150,semi-furnished,7350000,3,2,4,yes,no,no,no,yes,2,no
6000,semi-furnished,7350000,3,2,2,yes,yes,no,no,yes,1,no
6000,unfurnished,7350000,3,1,2,yes,no,no,no,yes,1,no
11440,semi-furnished,7343000,4,1,2,yes,no,yes,no,no,1,yes
9000,furnished,7245000,4,2,4,yes,yes,no,no,yes,1,yes
7680,semi-furnished,7210000,4,2,4,yes,yes,no,no,yes,1,no
6000,furnished,7210000,3,2,4,yes,yes,no,no,yes,1,no
6000,semi-furnished,7140000,3,2,2,yes,yes,no,no,no,1,no
8880,semi-furnished,7070000,2,1,1,yes,no,no,no,yes,1,no
6240,furnished,7070000,4,2,2,yes,no,no,no,yes,1,no
6360,furnished,7035000,4,2,3,yes,no,no,no,yes,2,yes
11175,furnished,7000000,3,1,1,yes,no,yes,no,yes,1,yes
8880,furnished,6930000,3,2,2,yes,no,yes,no,yes,1,no
13200,furnished,6930000,2,1,1,yes,no,yes,yes,no,1,no
7700,unfurnished,6895000,3,2,1,yes,no,no,no,no,2,no
6000,furnished,6860000,3,1,1,yes,no,no,no,yes,1,no
12090,furnished,6790000,4,2,2,yes,no,no,no,no,2,yes
4000,semi-furnished,6790000,3,2,2,yes,no,yes,no,yes,0,yes
6000,unfurnished,6755000,4,2,4,yes,no,no,no,yes,0,no
5020,unfurnished,6720000,3,1,4,yes,no,no,no,yes,0,yes
6600,furnished,6685000,2,2,4,yes,no,yes,no,no,0,yes
4040,furnished,6650000,3,1,2,yes,no,yes,yes,no,1,no
4260,semi-furnished,6650000,4,2,2,yes,no,no,yes,no,0,no
6420,furnished,6650000,3,2,3,yes,no,no,no,yes,0,yes
6500,furnished,6650000,3,2,3,yes,no,no,no,yes,0,yes
5700,furnished,6650000,3,1,1,yes,yes,yes,no,yes,2,yes
6000,furnished,6650000,3,2,3,yes,yes,no,no,yes,0,no
6000,semi-furnished,6629000,3,1,2,yes,no,no,yes,no,1,yes
4000,semi-furnished,6615000,3,2,2,yes,no,yes,no,yes,1,no
10500,furnished,6615000,3,2,1,yes,no,yes,no,yes,1,yes
6000,semi-furnished,6580000,3,2,4,yes,no,no,no,yes,0,no
3760,semi-furnished,6510000,3,1,2,yes,no,no,yes,no,2,no
8250,furnished,6510000,3,2,3,yes,no,no,no,yes,0,no
6670,unfurnished,6510000,3,1,3,yes,no,yes,no,no,0,yes
3960,semi-furnished,6475000,3,1,1,yes,no,yes,no,no,2,no
7410,unfurnished,6475000,3,1,1,yes,yes,yes,no,yes,2,yes
8580,furnished,6440000,5,3,2,yes,no,no,no,no,2,no
5000,semi-furnished,6440000,3,1,2,yes,no,no,no,yes,0,no
6750,furnished,6419000,2,1,1,yes,yes,yes,no,no,2,yes
4800,furnished,6405000,3,2,4,yes,yes,no,no,yes,0,no
7200,semi-furnished,6300000,3,2,1,yes,no,yes,no,yes,3,no
6000,semi-furnished,6300000,4,2,4,yes,no,no,no,no,1,no
4100,semi-furnished,6300000,3,2,3,yes,no,no,no,yes,2,no
9000,furnished,6300000,3,1,1,yes,no,yes,no,no,1,yes
6400,semi-furnished,6300000,3,1,1,yes,yes,yes,no,yes,1,yes
6600,unfurnished,6293000,3,2,3,yes,no,no,no,yes,0,yes
6000,unfurnished,6265000,4,1,3,yes,yes,yes,no,no,0,yes
6600,unfurnished,6230000,3,2,1,yes,no,yes,no,yes,0,yes
5500,unfurnished,6230000,3,1,3,yes,no,no,no,no,1,yes
5500,semi-furnished,6195000,3,2,4,yes,yes,no,no,yes,1,no
6350,furnished,6195000,3,2,3,yes,yes,no,no,yes,0,no
5500,furnished,6195000,3,2,1,yes,yes,yes,no,no,2,yes
4500,unfurnished,6160000,3,1,4,yes,no,no,no,yes,0,no
5450,semi-furnished,6160000,4,2,1,yes,no,yes,no,yes,0,yes
6420,unfurnished,6125000,3,1,3,yes,no,yes,no,no,0,yes
3240,semi-furnished,6107500,4,1,3,yes,no,no,no,no,1,no
6615,semi-furnished,6090000,4,2,2,yes,yes,no,yes,no,1,no
6600,semi-furnished,6090000,3,1,1,yes,yes,yes,no,no,2,yes
8372,unfurnished,6090000,3,1,3,yes,no,no,no,yes,2,no
4300,furnished,6083000,6,2,2,yes,no,no,no,no,0,no
9620,furnished,6083000,3,1,1,yes,no,yes,no,no,2,yes
6800,furnished,6020000,2,1,1,yes,yes,yes,no,no,2,no
8000,semi-furnished,6020000,3,1,1,yes,yes,yes,no,yes,2,yes
6900,unfurnished,6020000,3,2,1,yes,yes,yes,no,no,0,yes
3700,furnished,5950000,4,1,2,yes,yes,no,no,yes,0,no
6420,furnished,5950000,3,1,1,yes,no,yes,no,yes,0,yes
7020,semi-furnished,5950000,3,1,1,yes,no,yes,no,yes,2,yes
6540,furnished,5950000,3,1,1,yes,yes,yes,no,no,2,yes
7231,semi-furnished,5950000,3,1,2,yes,yes,yes,no,yes,0,yes
6254,semi-furnished,5950000,4,2,1,yes,no,yes,no,no,1,yes
7320,furnished,5950000,4,2,2,yes,no,no,no,no,0,no
6525,furnished,5950000,3,2,4,yes,no,no,no,no,1,no
15600,semi-furnished,5943000,3,1,1,yes,no,no,no,yes,2,no
7160,unfurnished,5880000,3,1,1,yes,no,yes,no,no,2,yes
6500,unfurnished,5880000,3,2,3,yes,no,no,no,yes,0,no
5500,furnished,5873000,3,1,3,yes,yes,no,no,yes,1,no
11460,semi-furnished,5873000,3,1,3,yes,no,no,no,no,2,yes
4800,unfurnished,5866000,3,1,1,yes,yes,yes,no,no,0,no
5828,semi-furnished,5810000,4,1,4,yes,yes,no,no,no,0,no
5200,semi-furnished,5810000,3,1,3,yes,no,no,no,yes,0,no
4800,unfurnished,5810000,3,1,3,yes,no,no,no,yes,0,no
7000,semi-furnished,5803000,3,1,1,yes,no,yes,no,no,2,yes
6000,unfurnished,5775000,3,2,4,yes,no,no,no,yes,0,no
5400,unfurnished,5740000,4,2,2,yes,no,no,no,yes,2,no
4640,semi-furnished,5740000,4,1,2,yes,no,no,no,no,1,no
5000,semi-furnished,5740000,3,1,3,yes,no,no,no,yes,0,no
6360,furnished,5740000,3,1,1,yes,yes,yes,no,yes,2,yes
5800,unfurnished,5740000,3,2,4,yes,no,no,no,yes,0,no
6660,semi-furnished,5652500,4,2,2,yes,yes,yes,no,no,1,yes
10500,semi-furnished,5600000,4,2,2,yes,no,no,no,no,1,no
4800,unfurnished,5600000,5,2,3,no,no,yes,yes,no,0,no
4700,furnished,5600000,4,1,2,yes,yes,yes,no,yes,1,no
5000,furnished,5600000,3,1,4,yes,no,no,no,no,0,no
10500,semi-furnished,5600000,2,1,1,yes,no,no,no,no,1,no
5500,semi-furnished,5600000,3,2,2,yes,no,no,no,no,1,no
6360,semi-furnished,5600000,3,1,3,yes,no,no,no,no,0,yes
6600,semi-furnished,5600000,4,2,1,yes,no,yes,no,no,0,yes
5136,unfurnished,5600000,3,1,2,yes,yes,yes,no,yes,0,yes
4400,semi-furnished,5565000,4,1,2,yes,no,no,no,yes,2,yes
5400,furnished,5565000,5,1,2,yes,yes,yes,no,yes,0,yes
3300,semi-furnished,5530000,3,3,2,yes,no,yes,no,no,0,no
3650,semi-furnished,5530000,3,2,2,yes,no,no,no,no,2,no
6100,furnished,5530000,3,2,1,yes,no,yes,no,no,2,yes
6900,semi-furnished,5523000,3,1,1,yes,yes,yes,no,no,0,yes
2817,furnished,5495000,4,2,2,no,yes,yes,no,no,1,no
7980,semi-furnished,5495000,3,1,1,yes,no,no,no,no,2,no
3150,furnished,5460000,3,2,1,yes,yes,yes,no,yes,0,no
6210,furnished,5460000,4,1,4,yes,yes,no,no,yes,0,no
6100,semi-furnished,5460000,3,1,3,yes,yes,no,no,yes,0,yes
6600,semi-furnished,5460000,4,2,2,yes,yes,yes,no,no,0,yes
6825,semi-furnished,5425000,3,1,1,yes,yes,yes,no,yes,0,yes
6710,furnished,5390000,3,2,2,yes,yes,yes,no,no,1,yes
6450,unfurnished,5383000,3,2,1,yes,yes,yes,yes,no,0,no
7800,unfurnished,5320000,3,1,1,yes,no,yes,no,yes,2,yes
4600,semi-furnished,5285000,2,2,1,yes,no,no,no,yes,2,no
4260,furnished,5250000,4,1,2,yes,no,yes,no,yes,0,no
6540,semi-furnished,5250000,4,2,2,no,no,no,no,yes,0,no
5500,semi-furnished,5250000,3,2,1,yes,no,yes,no,no,0,no
10269,semi-furnished,5250000,3,1,1,yes,no,no,no,no,1,yes
8400,unfurnished,5250000,3,1,2,yes,yes,yes,no,yes,2,yes
5300,unfurnished,5250000,4,2,1,yes,no,no,no,yes,0,yes
3800,unfurnished,5250000,3,1,2,yes,yes,yes,no,no,1,yes
9800,semi-furnished,5250000,4,2,2,yes,yes,no,no,no,2,no
8520,furnished,5250000,3,1,1,yes,no,no,no,yes,2,no
6050,semi-furnished,5243000,3,1,1,yes,no,yes,no,no,0,yes
7085,semi-furnished,5229000,3,1,1,yes,yes,yes,no,no,2,yes
3180,semi-furnished,5215000,3,2,2,yes,no,no,no,no,2,no
4500,semi-furnished,5215000,4,2,1,no,no,yes,no,yes,2,no
7200,furnished,5215000,3,1,2,yes,yes,yes,no,no,1,yes
3410,semi-furnished,5145000,3,1,2,no,no,no,no,yes,0,no
7980,semi-furnished,5145000,3,1,1,yes,no,no,no,no,1,yes
3000,furnished,5110000,3,2,2,yes,yes,yes,no,no,0,no
3000,unfurnished,5110000,3,1,2,yes,no,yes,no,no,0,no
11410,furnished,5110000,2,1,2,yes,no,no,no,no,0,yes
6100,semi-furnished,5110000,3,1,1,yes,no,yes,no,yes,0,yes
5720,unfurnished,5075000,2,1,2,yes,no,no,no,yes,0,yes
3540,semi-furnished,5040000,2,1,1,no,yes,yes,no,no,0,no
7600,furnished,5040000,4,1,2,yes,no,no,no,yes,2,no
10700,semi-furnished,5040000,3,1,2,yes,yes,yes,no,no,0,no
6600,furnished,5040000,3,1,1,yes,yes,yes,no,no,0,yes
4800,semi-furnished,5033000,2,1,1,yes,yes,yes,no,no,0,no
8150,semi-furnished,5005000,3,2,1,yes,yes,yes,no,no,0,no
4410,semi-furnished,4970000,4,3,2,yes,no,yes,no,no,2,no
7686,semi-furnished,4970000,3,1,1,yes,yes,yes,yes,no,0,no
2800,semi-furnished,4956000,3,2,2,no,no,yes,no,yes,1,no
5948,semi-furnished,4935000,3,1,2,yes,no,no,no,yes,0,no
4200,furnished,4907000,3,1,2,yes,no,no,no,no,1,no
4520,semi-furnished,4900000,3,1,2,yes,no,yes,no,yes,0,no
4095,semi-furnished,4900000,3,1,2,no,yes,yes,no,yes,0,no
4120,semi-furnished,4900000,2,1,1,yes,no,yes,no,no,1,no
5400,semi-furnished,4900000,4,1,2,yes,no,no,no,no,0,no
4770,semi-furnished,4900000,3,1,1,yes,yes,yes,no,no,0,no
6300,semi-furnished,4900000,3,1,1,yes,no,no,no,yes,2,no
5800,semi-furnished,4900000,2,1,1,yes,yes,yes,no,yes,0,no
3000,semi-furnished,4900000,3,1,2,yes,no,yes,no,yes,0,no
2970,semi-furnished,4900000,3,1,3,yes,no,no,no,no,0,no
6720,unfurnished,4900000,3,1,1,yes,no,no,no,no,0,no
4646,semi-furnished,4900000,3,1,2,yes,yes,yes,no,no,2,no
12900,furnished,4900000,3,1,1,yes,no,no,no,no,2,no
3420,semi-furnished,4893000,4,2,2,yes,no,yes,no,yes,2,no
4995,semi-furnished,4893000,4,2,1,yes,no,yes,no,no,0,no
4350,unfurnished,4865000,2,1,1,yes,no,yes,no,no,0,no
4160,unfurnished,4830000,3,1,3,yes,no,no,no,no,0,no
6040,semi-furnished,4830000,3,1,1,yes,no,no,no,no,2,yes
6862,furnished,4830000,3,1,2,yes,no,no,no,yes,2,yes
4815,semi-furnished,4830000,2,1,1,yes,no,no,no,yes,0,yes
7000,unfurnished,4795000,3,1,2,yes,no,yes,no,no,0,no
8100,semi-furnished,4795000,4,1,4,yes,no,yes,no,yes,2,no
3420,semi-furnished,4767000,4,2,2,yes,no,no,no,no,0,no
9166,semi-furnished,4760000,2,1,1,yes,no,yes,no,yes,2,no
6321,furnished,4760000,3,1,2,yes,no,yes,no,yes,1,no
10240,unfurnished,4760000,2,1,1,yes,no,no,no,yes,2,yes
6440,semi-furnished,4753000,2,1,1,yes,no,no,no,yes,3,no
5170,semi-furnished,4690000,3,1,4,yes,no,no,no,yes,0,no
6000,furnished,4690000,2,1,1,yes,no,yes,no,yes,1,no
3630,semi-furnished,4690000,3,1,2,yes,no,no,no,no,2,no
9667,semi-furnished,4690000,4,2,2,yes,yes,yes,no,no,1,no
5400,semi-furnished,4690000,2,1,2,yes,no,no,no,no,0,yes
4320,semi-furnished,4690000,3,1,1,yes,no,no,no,no,0,yes
3745,furnished,4655000,3,1,2,yes,no,yes,no,no,0,no
4160,unfurnished,4620000,3,1,1,yes,yes,yes,no,yes,0,no
3880,semi-furnished,4620000,3,2,2,yes,no,yes,no,no,2,no
5680,semi-furnished,4620000,3,1,2,yes,yes,no,no,yes,1,no
2870,semi-furnished,4620000,2,1,2,yes,yes,yes,no,no,0,yes
5010,semi-furnished,4620000,3,1,2,yes,no,yes,no,no,0,no
4510,semi-furnished,4613000,4,2,2,yes,no,yes,no,no,0,no
4000,furnished,4585000,3,1,2,yes,no,no,no,no,1,no
3840,semi-furnished,4585000,3,1,2,yes,no,no,no,no,1,yes
3760,semi-furnished,4550000,3,1,1,yes,no,no,no,no,2,no
3640,furnished,4550000,3,1,2,yes,no,no,no,yes,0,no
2550,furnished,4550000,3,1,2,yes,no,yes,no,no,0,no
5320,semi-furnished,4550000,3,1,2,yes,yes,yes,no,no,0,yes
5360,unfurnished,4550000,3,1,2,yes,no,no,no,no,2,yes
3520,semi-furnished,4550000,3,1,1,yes,no,no,no,no,0,yes
8400,unfurnished,4550000,4,1,4,yes,no,no,no,no,3,no
4100,semi-furnished,4543000,2,2,1,yes,yes,yes,no,no,0,no
4990,furnished,4543000,4,2,2,yes,yes,yes,no,no,0,yes
3510,semi-furnished,4515000,3,1,3,yes,no,no,no,no,0,no
3450,semi-furnished,4515000,3,1,2,yes,no,yes,no,no,1,no
9860,semi-furnished,4515000,3,1,1,yes,no,no,no,no,0,no
3520,furnished,4515000,2,1,2,yes,no,no,no,no,0,yes
4510,semi-furnished,4480000,4,1,2,yes,no,no,no,yes,2,no
5885,unfurnished,4480000,2,1,1,yes,no,no,no,yes,1,no
4000,furnished,4480000,3,1,2,yes,no,no,no,no,2,no
8250,furnished,4480000,3,1,1,yes,no,no,no,no,0,no
4040,semi-furnished,4480000,3,1,2,yes,no,no,no,no,1,no
6360,furnished,4473000,2,1,1,yes,no,yes,no,yes,1,no
3162,furnished,4473000,3,1,2,yes,no,no,no,yes,1,no
3510,semi-furnished,4473000,3,1,2,yes,no,no,no,no,0,no
3750,semi-furnished,4445000,2,1,1,yes,yes,yes,no,no,0,no
3968,semi-furnished,4410000,3,1,2,no,no,no,no,no,0,no
4900,semi-furnished,4410000,2,1,2,yes,no,yes,no,no,0,no
2880,semi-furnished,4403000,3,1,2,yes,no,no,no,no,0,yes
4880,unfurnished,4403000,3,1,1,yes,no,no,no,no,2,yes
4920,semi-furnished,4403000,3,1,2,yes,no,no,no,no,1,no
4950,semi-furnished,4382000,4,1,2,yes,no,no,no,yes,0,no
3900,unfurnished,4375000,3,1,2,yes,no,no,no,no,0,no
4500,furnished,4340000,3,2,3,yes,no,no,yes,no,1,no
1905,semi-furnished,4340000,5,1,2,no,no,yes,no,no,0,no
4075,semi-furnished,4340000,3,1,1,yes,yes,yes,no,no,2,no
3500,furnished,4340000,4,1,2,yes,no,no,no,no,2,no
6450,semi-furnished,4340000,4,1,2,yes,no,no,no,no,0,no
4032,furnished,4319000,2,1,1,yes,no,yes,no,no,0,no
4400,semi-furnished,4305000,2,1,1,yes,no,no,no,no,1,no
10360,semi-furnished,4305000,2,1,1,yes,no,no,no,no,1,yes
3400,semi-furnished,4277000,3,1,2,yes,no,yes,no,no,2,yes
6360,furnished,4270000,2,1,1,yes,no,no,no,no,0,no
6360,unfurnished,4270000,2,1,2,yes,no,no,no,no,0,no
4500,furnished,4270000,2,1,1,yes,no,no,no,yes,2,no
2175,unfurnished,4270000,3,1,2,no,yes,yes,no,yes,0,no
4360,furnished,4270000,4,1,2,yes,no,no,no,no,0,no
7770,furnished,4270000,2,1,1,yes,no,no,no,no,1,no
6650,semi-furnished,4235000,3,1,2,yes,yes,no,no,no,0,no
2787,furnished,4235000,3,1,1,yes,no,yes,no,no,0,yes
5500,unfurnished,4200000,3,1,2,yes,no,no,no,yes,0,no
5040,unfurnished,4200000,3,1,2,yes,no,yes,no,yes,0,no
5850,semi-furnished,4200000,2,1,1,yes,yes,yes,no,no,2,no
2610,semi-furnished,4200000,4,3,2,no,no,no,no,no,0,no
2953,unfurnished,4200000,3,1,2,yes,no,yes,no,yes,0,no
2747,semi-furnished,4200000,4,2,2,no,no,no,no,no,0,no
4410,unfurnished,4200000,2,1,1,no,no,no,no,no,1,no
4000,semi-furnished,4200000,4,2,2,no,no,no,no,no,0,no
2325,semi-furnished,4200000,3,1,2,no,no,no,no,no,0,no
4600,semi-furnished,4200000,3,2,2,yes,no,no,no,yes,1,no
3640,unfurnished,4200000,3,2,2,yes,no,yes,no,no,0,no
5800,semi-furnished,4200000,3,1,1,yes,no,no,yes,no,2,no
7000,furnished,4200000,3,1,1,yes,no,no,no,no,3,no
4079,semi-furnished,4200000,3,1,3,yes,no,no,no,no,0,no
3520,semi-furnished,4200000,3,1,2,yes,no,no,no,no,0,yes
2145,unfurnished,4200000,3,1,3,yes,no,no,no,no,1,yes
4500,furnished,4200000,3,1,1,yes,no,yes,no,no,0,no
8250,semi-furnished,4193000,3,1,1,yes,no,yes,no,no,3,no
3450,semi-furnished,4193000,3,1,2,yes,no,no,no,no,1,no
4840,semi-furnished,4165000,3,1,2,yes,no,no,no,no,1,no
4080,semi-furnished,4165000,3,1,2,yes,no,no,no,no,2,no
4046,semi-furnished,4165000,3,1,2,yes,no,yes,no,no,1,no
4632,semi-furnished,4130000,4,1,2,yes,no,no,no,yes,0,no
5985,semi-furnished,4130000,3,1,1,yes,no,yes,no,no,0,no
6060,semi-furnished,4123000,2,1,1,yes,no,yes,no,no,1,no
3600,furnished,4098500,3,1,1,yes,no,yes,no,yes,0,yes
3680,semi-furnished,4095000,3,2,2,yes,no,no,no,no,0,no
4040,semi-furnished,4095000,2,1,2,yes,no,no,no,no,1,no
5600,semi-furnished,4095000,2,1,1,yes,no,no,no,yes,0,no
5900,unfurnished,4060000,4,2,2,no,no,yes,no,no,1,no
4992,unfurnished,4060000,3,2,2,yes,no,no,no,no,2,no
4340,semi-furnished,4060000,3,1,1,yes,no,no,no,no,0,no
3000,semi-furnished,4060000,4,1,3,yes,no,yes,no,yes,2,no
4320,furnished,4060000,3,1,2,yes,no,no,no,no,2,yes
3630,semi-furnished,4025000,3,2,2,yes,no,no,yes,no,2,no
3460,furnished,4025000,3,2,1,yes,no,yes,no,yes,1,no
5400,semi-furnished,4025000,3,1,1,yes,no,no,no,no,3,no
4500,semi-furnished,4007500,3,1,2,no,no,yes,no,yes,0,no
3460,semi-furnished,4007500,4,1,2,yes,no,no,no,yes,0,no
4100,unfurnished,3990000,4,1,1,no,no,yes,no,no,0,no
6480,semi-furnished,3990000,3,1,2,no,no,no,no,yes,1,no
4500,semi-furnished,3990000,3,2,2,no,no,yes,no,yes,0,no
3960,furnished,3990000,3,1,2,yes,no,no,no,no,0,no
4050,unfurnished,3990000,2,1,2,yes,yes,yes,no,no,0,yes
7260,furnished,3920000,3,2,1,yes,yes,yes,no,no,3,no
5500,semi-furnished,3920000,4,1,2,yes,yes,yes,no,no,0,no
3000,semi-furnished,3920000,3,1,2,yes,no,no,no,no,0,no
3290,furnished,3920000,2,1,1,yes,no,no,yes,no,1,no
3816,furnished,3920000,2,1,1,yes,no,yes,no,yes,2,no
8080,semi-furnished,3920000,3,1,1,yes,no,no,no,yes,2,no
2145,unfurnished,3920000,4,2,1,yes,no,yes,no,no,0,yes
3780,semi-furnished,3885000,2,1,2,yes,yes,yes,no,no,0,no
3180,furnished,3885000,4,2,2,yes,no,no,no,no,0,no
5300,semi-furnished,3850000,5,2,2,yes,no,no,no,no,0,no
3180,semi-furnished,3850000,2,2,1,yes,no,yes,no,no,2,no
7152,furnished,3850000,3,1,2,yes,no,no,no,yes,0,no
4080,semi-furnished,3850000,2,1,1,yes,no,no,no,no,0,no
3850,semi-furnished,3850000,2,1,1,yes,no,no,no,no,0,no
2015,semi-furnished,3850000,3,1,2,yes,no,yes,no,no,0,yes
2176,semi-furnished,3850000,2,1,2,yes,yes,no,no,no,0,yes
3350,unfurnished,3836000,3,1,2,yes,no,no,no,no,0,no
3150,semi-furnished,3815000,2,2,1,no,no,yes,no,no,0,no
4820,semi-furnished,3780000,3,1,2,yes,no,no,no,no,0,no
3420,semi-furnished,3780000,2,1,2,yes,no,no,yes,no,1,no
3600,semi-furnished,3780000,2,1,1,yes,no,no,no,no,0,no
5830,unfurnished,3780000,2,1,1,yes,no,no,no,no,2,no
2856,furnished,3780000,3,1,3,yes,no,no,no,no,0,yes
8400,furnished,3780000,2,1,1,yes,no,no,no,no,1,no
8250,furnished,3773000,3,1,1,yes,no,no,no,no,2,no
2520,furnished,3773000,5,2,1,no,no,yes,no,yes,1,no
6930,furnished,3773000,4,1,2,no,no,no,no,no,1,no
3480,semi-furnished,3745000,2,1,1,yes,no,no,no,no,0,yes
3600,unfurnished,3710000,3,1,1,yes,no,no,no,no,1,no
4040,semi-furnished,3710000,2,1,1,yes,no,no,no,no,0,no
6020,semi-furnished,3710000,3,1,1,yes,no,no,no,no,0,no
4050,furnished,3710000,2,1,1,yes,no,no,no,no,0,no
3584,semi-furnished,3710000,2,1,1,yes,no,no,yes,no,0,no
3120,semi-furnished,3703000,3,1,2,no,no,yes,yes,no,0,no
5450,furnished,3703000,2,1,1,yes,no,no,no,no,0,no
3630,furnished,3675000,2,1,1,yes,no,yes,no,no,0,no
3630,unfurnished,3675000,2,1,1,yes,no,no,no,yes,0,no
5640,semi-furnished,3675000,2,1,1,no,no,no,no,no,0,no
3600,furnished,3675000,2,1,1,yes,no,no,no,no,0,no
4280,semi-furnished,3640000,2,1,1,yes,no,no,no,yes,2,no
3570,semi-furnished,3640000,3,1,2,yes,no,yes,no,no,0,no
3180,semi-furnished,3640000,3,1,2,no,no,yes,no,no,0,no
3000,furnished,3640000,2,1,2,yes,no,no,no,yes,0,no
3520,semi-furnished,3640000,2,2,1,yes,no,yes,no,no,0,no
5960,unfurnished,3640000,3,1,2,yes,yes,yes,no,no,0,no
4130,semi-furnished,3640000,3,2,2,yes,no,no,no,no,2,no
2850,unfurnished,3640000,3,2,2,no,no,yes,no,no,0,yes
2275,semi-furnished,3640000,3,1,3,yes,no,no,yes,yes,0,yes
3520,unfurnished,3633000,3,1,1,yes,no,no,no,no,2,yes
4500,semi-furnished,3605000,2,1,1,yes,no,no,no,no,0,no
4000,semi-furnished,3605000,2,1,1,yes,no,no,no,no,0,yes
3150,furnished,3570000,3,1,2,yes,no,yes,no,no,0,no
4500,furnished,3570000,4,2,2,yes,no,yes,no,no,2,no
4500,furnished,3570000,2,1,1,no,no,no,no,no,0,no
3640,unfurnished,3570000,2,1,1,yes,no,no,no,no,0,no
3850,unfurnished,3535000,3,1,1,yes,no,no,no,no,2,no
4240,semi-furnished,3500000,3,1,2,yes,no,no,no,yes,0,no
3650,unfurnished,3500000,3,1,2,yes,no,no,no,no,0,no
4600,semi-furnished,3500000,4,1,2,yes,no,no,no,no,0,no
2135,unfurnished,3500000,3,2,2,no,no,no,no,no,0,no
3036,semi-furnished,3500000,3,1,2,yes,no,yes,no,no,0,no
3990,semi-furnished,3500000,3,1,2,yes,no,no,no,no,0,no
